Název,Provozovatel,IČO,Bezbariérovost,Poznámka k bezbariérovosti,Typ kina,Počet sálů,Kapacita,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
Kino Mír,Městské kulturní středisko Úpice,00194786,ČÁSTEČNĚ,bezbariérové WC,kino se stálým provozem,1,400,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Úpice,579777,Chelčického,216,č.p.,,542 32    ,https://www.mksu.cz/,POINT(50.5116 16.0156),16.0156,50.5116,KINA17,17,1782848.43674876,6535351.92300517
Kino Nový Hrádek,Městys Nový Hrádek,00272884,ANO,bezbariérové WC,kino se stálým provozem,1,228,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Nový Hrádek,574287,Roubalův kopec,350,č.p.,,549 22    ,https://www.novy-hradek.cz/index.php?str=kino,POINT(50.3568 16.2435),16.2435,50.3568,KINA18,18,1808218.14870054,6508298.15074953
Kino Rabštejn,Sdružený klub Rabštejn,46459731,ČÁSTEČNĚ,"nutno překonat 5 schodů - mají plošinu, ale nutno přivolat obsluhu z Divadelní kavárny, plánovaná rekonstrukce zahrnuje bezbariérový vstup i WC, v současnosti bezbariérové WC není",kino se stálým provozem,1,103,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Kostelec nad Orlicí,576361,Palackého náměstí,36,č.p.,,517 41    ,https://www.skrabstejn.cz/,POINT(50.1233 16.2108),16.2108,50.1233,KINA19,19,1804578.00135161,6467656.67434104
Kino Rychnov nad Kněžnou,Kultura Rychnov nad Kněžnou s.r.o.,27475689,ANO,bezbariérové WC,kino se stálým provozem,1,110,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,Panská,1492,č.p.,,516 01    ,http://www.kinorychnov.cz/,POINT(50.1640 16.2762),16.2762,50.164,KINA20,20,1811858.29604949,6474726.34378085
Kino Sobotka,Jednota bratrská Sobotka,04116496,ANO,"bezbariérový vstup je v divadle i v zahradě, v divadle je odstupňované hlediště (schůdky), lze vozík nechat vzadu za sedačkami (bez nutnosti překonávání schůdků), v obou případech je k dispozici i bezbariérové WC",kino s letním provozem,1,120,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Sobotka,573493,Náměstí Míru,3,č.p.,,507 43    ,https://cs-cz.facebook.com/kinosobotka/,POINT(50.4672 15.1768),15.1768,50.4672,KINA21,21,1689473.64787136,6527583.26060572
Kino Solnice,Kultura Solnice s.r.o.,08035881,ANO,bezbariérové WC,kino s nepravidelným provozem,1,217,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Solnice,576808,Družstevní,555,č.p.,,517 01,www.kulturasolnice.cz,POINT(50.2028 16.2347),16.2347,50.2028,KINA22,22,1807238.53718156,6481471.58654057
Kino Svět,"Hankův dům, MKZ Dvůr Králové nad Labem",13583051,ANO,bezbariérové WC,kino se stálým provozem,1,219,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Dvůr Králové nad Labem,579203,Náměstí Václava Hanky,828,č.p.,,544 01    ,https://www.kino-svet.cz/,POINT(50.4307 15.8125),15.8125,50.4307,KINA23,23,1760239.44816864,6521202.32158676
Kino Teplice nad Metují,Město Teplice nad Metují,00273139,ANO,"momentálně probíhá rekonstrukce, která zahrnuje vybudování bezbariérového WC",kino se stálým provozem,1,271,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Teplice nad Metují,574538,Horní,9,č.p.,,549 57,https://www.teplicenadmetuji.cz/volny-cas/akce-u-nas/,POINT(50.5948 16.1703),16.1703,50.5948,KINA24,24,1800069.56197448,6549929.11272771
Kino Vesmír,Společenské centrum Trutnovska pro kulturu a volný čas,72049537,ANO,"ve velkém sálu jsou 4 místa vyhrazená místa pro vozíčkáře, v malém sálu 3 vyhrazená místa pro vozíčkáře",kino se stálým provozem,2,288,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,Nábřeží Václava Havla,20,č.p.,,541 01    ,http://uffo.cz/,POINT(50.5623 15.9169),15.9169,50.5623,KINA25,25,1771861.20300746,6544231.83545516
Kino Vesmír Náchod,Kino Vesmír p.o.,00857866,NE,není bezbariérové WC,kino se stálým provozem,1,250,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Náchod,573868,Hurdálkova,147,č.p.,,547 33    ,https://www.kinonachod.cz/,POINT(50.4167 16.1656),16.1656,50.4167,KINA26,26,1799546.36036775,6518756.14340016
