Název,IČO,Zřizovatel,Bezbariérovost,Poznámka k bezbariérovosti,Typ muzea,Zaměření muzea,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,Jedinečný identifikátor v datovém skladu Turistického portálu KHK,ID,x2,y2
Labyrint Divadla Drak,27504671,Divadlo Drak a Mezinárodní institut figurálního divadla o.p.s.,ano,"Obě scény Divadla Drak jsou bezbariérové. Pro hlavní scénu lze použít nouzový vchod, který nemá schody, ani jiné zábrany. Pro studiovou scénu a labyrint používáme dřevěný nájezd na schody určený i pro kočárky, nebo přístup ze dvora, který je bez překážek ","historické, umělecké","Stálá expozice - Příběh Draku 1958 – 2018, která mapuje prvních šedesát let existence divadla, expozice loutek a autorské výstavy. Druhé patro galerie je vyhrazeno krátkodobým výstavám a herně s divadelními trenažéry.  ",Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Hradební,632,č.p.,,50003,https://draktheatre.cz/,POINT(50.2076453 15.8385314),15.8385314,50.2076453,MG53,4039,53,1763137.25036128,6482314.30982492
Malá vodní elektrárna Hučák,45274649,"ČEZ, a.s.",ano,bezbariérové WC ano,průmyslové,"historické exponáty dokumentující tradici využívání obnovitelných zdrojů, moderní expozice se zaměřením na nové obnovitelné zdroje",Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Křižíkova,233,č.p.,4,50003,https://www.cez.cz/cs/o-cez/infocentra/hucak-136625,POINT(50.2076153 15.8266283),15.8266283,50.2076153,MG54,4046,54,1761812.20333042,6482309.09178394
Masarykova věž samostatnosti,00271560,Město Hořice,částečně,,vlastivědné,"expozice se zaměřuje na český odboj v letech 1914-1918, 1939-1945, 1948-1989, výstava soch
",Královéhradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Hořice,572926,Cesta Legií,1370,č.p.,,50801,https://www.horice.org/,POINT(50.3775564 15.6387878),15.6387878,50.3775564,MG55,4035,55,1740901.89452006,6511920.53313635
Měděný důl Bohumír,26001802,Důl Jan Šverma o.p.s.,ano,bezbariérové WC ano,průmyslové,expozice měděného dolu věnující se práci horníků,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Jívka,579378,Jívka,187,č.p.,,54213,https://www.djs-ops.cz/,POINT(50.5491853 16.0926906),16.0926906,50.5491853,MG56,4073,56,1791430.1230857,6541933.93019885
Městské muzeum a galerie Hořice,00271560,Město Hořice,ano,Muzeum je plně bezbariérové. Jsou k dispozici panely s texty i komentovná prohlídka dle domluvy.,obecné,"stálé expozice jsou věnovány kamenosochařské tradici v regionu, historie těžby pískovce ve zdejším regionu a jeho řemeslného zpracování, díla umělců spjatých s Hořicemi",Královéhradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Hořice,572926,Náměstí Jiřího z Poděbrad,160,č.p.,,50801,https://muzeum.horice.org/,POINT(50.3693147 15.6326806),15.6326806,50.3693147,MG57,4033,57,1740222.04412589,6510482.01173081
Městské muzeum a galerie Julie W. Mezerové,43464114,Město Úpice,ne,bezbariérové WC ne,obecné,"stálé expozice - obrazy J. W. Mezerové, rodina Čapkova, národopisná expozice, Vízmburk a sbírka zbraní
",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Úpice,579777,Náměstí T. G. Masaryka,30,č.p.,,54232,https://www.mmgu.cz/,POINT(50.5123061 16.0160303),16.0160303,50.5123061,MG58,4150,58,1782896.33752565,6535475.5282304
"Městské muzeum Loreta, Chlumec nad Cidlinou",00268861,Město Chlumec nad Cidlinou,částečně,"bezbariérové WC ano, bezbariérový přístup přibližně do 75 % prostor",historické,"expozice sbírek hmotných dokladů vývoje přírody, prehistorie a historie české i zahraniční provenience, sbírka zemědělských strojů a nářadí, cechovní památky a terče, selský a měšťanský pokoj",Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Chlumec nad Cidlinou,570109,Kozelkova,25,č.p.,,50351,https://www.chlumecnc.cz/mestske-muzeum-loreta-chlumec-nad-cidlinou/os-1002,POINT(50.1593353 15.46024),15.46024,50.1593353,MG59,4062,59,1721026.04434181,6473915.77098334
Městské muzeum Nová Paka,00371033,Město Nová Paka,nezjištěno,,obecné,přírodovedné a historické sbírky,Královéhradecký kraj,CZ052,Jičín,CZ0522,Nová Paka,5210,Nová Paka,573248,Stanislava Suchardy,68,č.p.,,50901,https://muzeum.cz/,POINT(50.49564 15.5140164),15.5140164,50.49564,MG60,4100,60,1727012.4058065,6532558.56328249
Městské muzeum Nová Paka - Klenotnice drachých kamenů,00371033,Město Nová Paka,částečně,bezbariérové WC ne,geologické,nálezy drahých kamenů ze soukromých a školních sbírek z poloviny 19. století,Královéhradecký kraj,CZ052,Jičín,CZ0522,Nová Paka,5210,Nová Paka,573248,F. F. Procházky ,70,č.p.,,50901,https://muzeum.cz/,POINT(50.4955281 15.5135322),15.5135322,50.4955281,MG61,4101,61,1726958.50490906,6532538.98159252
Městské muzeum Nová Paka - Suchardův dům,00371033,Město Nová Paka,částečně,"bezbariérové WC ano, bezb. přístupno pouze přízemí","historické, umělecké","historická expozice muzea a prostory, kde jsou pořádány výstavy řady umělců, kteří pocházejí z Nové Paky",Královéhradecký kraj,CZ052,Jičín,CZ0522,Nová Paka,5210,Nová Paka,573248,Stanislava Suchardy,68,č.p.,,50901,https://muzeum.cz/muzeum/sucharduv-dum/,POINT(50.4956308 15.5140728),15.5140728,50.4956308,MG62,4102,62,1727018.68422578,6532556.95334735
Městské muzeum Nové Město nad Metují,71229337,Město Nové Město nad Metují,ne,bezbariérové WC ne,obecné,"expozice má několik částí: v té první je možné vidět barokní lékárnu Milosrdných bratří, dále vyřezávaný „Měšťanský betlém“ a další expozice jsou zaměřeny na historii města a regionu, řemesla a přírodu; poslední zastávkou je expozice hodinářské výroby PRI",Královéhradecký kraj,CZ052,Náchod,CZ0523,Nové Město nad Metují,5211,Nové Město nad Metují,574279,Na Zadomí ,1226,č.p.,,54901,http://www.muzeum-nmnm.cz/index.php/cz/,POINT(50.34417 16.1529619),16.1529619,50.34417,MG63,4104,63,1798139.49351115,6506094.75311396
Městské muzeum Nové Město nad Metují - Galerie Zázvorka,71229337,Město Nové Město nad Metují,ne,bezbariérové WC ne,umělecké,expozici tvoří výtvarná díla novoměstských rodáků,Královéhradecký kraj,CZ052,Náchod,CZ0523,Nové Město nad Metují,5211,Nové Město nad Metují,574279,U Zázvorky,1210,č.p.,,54901,http://www.muzeum-nmnm.cz/index.php/cz/,POINT(50.3449439 16.1512756),16.1512756,50.3449439,MG64,4105,64,1797951.77545383,6506229.74888297
Městské muzeum Nový Bydžov,00269247,Město Nový Bydžov,ne,bezbariérové WC ne,obecné,"vedle historické muzejní expozice mohou návštěvníci poznat i bohatou galerii výtvarných děl 19. a 20. století, stálou výstavu Bydžov známý a neznámý
",Královéhradecký kraj,CZ052,Jičín,CZ0522,Nový Bydžov,5212,Nový Bydžov,570508,Boženy Němcové,507,č.p.,,50401,https://www.novybydzov.cz/,POINT(50.2410067 15.49176),15.49176,50.2410067,MG65,4106,65,1724534.83469161,6488119.0461759
Městské muzeum Rtyně v Podkrkonoší,00278238,Město Rtyně v Podkrkonoší,nezjištěno,,obecné,"tři stálé expozice - 1) Expozice etnografická dokumentuje historii města a života zdejších obyvatel, 2) Expozice selského povstání 1775 připomíná na dobových dokumentech příčiny a průběh selských bouří, 3) Největší a v severovýchodních Čechách ojedinělá j",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Rtyně v Podkrkonoší,579637,Kostelecká,141,č.p.,,54233,https://www.rtyne.cz/,POINT(50.5042264 16.0717753),16.0717753,50.5042264,MG66,4123,66,1789101.84253992,6534061.25948706
Městské muzeum v Jaroměři,00401633,Město Jaroměř,ano,"bezbariérové WC ano , bezbariérový přístup po domluvě",obecné,"archeologie, etnografie, výtvarné umění",Královéhradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Jaroměř,574121,Husova,295,č.p.,,55101,https://muzeumjaromer.cz/,POINT(50.3535036 15.9135106),15.9135106,50.3535036,MG67,4063,67,1771483.89672537,6507723.01267566
Městské muzeum v Jaroměři - expozice v Josefově,00401633,Město Jaroměř,ano,bezbariérové WC ano,historické,expozice představuje historický vývoj města Jaroměř a pevnosti Josefov,Královéhradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Jaroměř - Josefov,574121,Riegrovo náměstí,8,č.p.,,55102,https://muzeumjaromer.cz/,POINT(50.3374492 15.9263833),15.9263833,50.3374492,MG68,4067,68,1772916.8791345,6504922.49831844
Městské muzeum ve Dvoře Králové nad Labem,43464386,Město Dvůr Králové nad Labem,částečně,Přístup do expozice a expozice samotná jsou bezbariérové. Expozice se nachází v přízemí budovy. V expozici není bezbariérová toaleta. ,průmyslové,"první expozice se věnuje perlařství a výrobě skleněných ozdob, druhá pak představuje vzorkovnu výrobků od třicátých let 20. století do současnosti
",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Dvůr Králové nad Labem,579203,Sladkovského ,530,č.p.,,54401,https://www.muzeumdk.cz/,POINT(50.4352306 15.8162003),15.8162003,50.4352306,MG69,4024,69,1760651.36368043,6521994.09469809
Městské muzeum Žacléř,00278491,Město Žacléř,částečně,"bezbariérové WC ne, nutno překonat schodiště u vstupu, jinak je podlaží bezbariérové, personál je ochoten pomoci, zrakově či sluchově hendykepovaným se přizpůsobují (umožňují např. dotýkání se předmětů pro zrak. hendyk.)",obecné,"stálá expozice zaměřená na historii regionu, jeho významné osobnosti a těžbu černého uhlí, sbírka porcelánu a národopisná expozice",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Žacléř,579874,Rýchorské náměstí,10,č.p.,,54201,http://www.muzeum-zacler.cz/,POINT(50.6529222 15.9074183),15.9074183,50.6529222,MG70,4161,70,1770805.70499161,6560127.7990367
Mlýn Oldřicha Prášila,,Marie Vraštilová,nezjištěno,,technické,kompletně zařízený válcový mlýn,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Železnice,573825,Palackého ,77,č.p.,,50713,https://www.vodnimlyny.cz/mlyny/objekty/detail/2966-mlyn-oldricha-prasila,POINT(50.47333 15.3812919),15.3812919,50.47333,MG71,4164,71,1712237.58205071,6528655.3916928
Motoveterán muzeum Bříšťany,03917690,Miroslav Horák,částečně,,technické,"sbírka motocyklů z třicátých let a klasické motocykly ze sedmdesátých let, sbírka motorů, zaměření na historii moto světa",Královéhradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Bříšťany,548855,Bříšťany,79,č.p.,,50801,www.veteranmuzeum.unas.cz/,POINT(50.3173289 15.6211128),15.6211128,50.3173289,MG72,4007,72,1738934.32252029,6501414.06822146
Museum Czech Road Racing Hořice,00271560,Město Hořice,částečně,"K dispozici je nájezd do prvního patra, do druhého nikoli. K dispozici jsou panely s texty a videa. Komentovaná prohlídka dle domluvy.",motocyklistické,"expozice připomíná historii i současnost motocyklového sportu, dále se zaměřuje na významného jezdce - Gustava Havla",Královéhradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Hořice,572926,Riegrova,1,č.p.,,50801,https://www.museumcrr.cz/,POINT(50.3699697 15.6356281),15.6356281,50.3699697,MG73,4034,73,1740550.15832501,6510596.3274897
Museum Četnická stanice Chlumec nad Cidlinou,1996878,"Četnická stanice Chlumec nad Cidlinou, z. s.",ne,bezbariérové WC ne,historické,"expozice dobových stejnokrojů, dobově zařízená četnická kancelář a četnická kasárna z konce 30. let 20. století",Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Chlumec nad Cidlinou,570109,Boženy Němcové,35,č.p.,,50351,https://www.cetnici.cz,POINT(50.1575748 15.4629386),15.4629386,50.1575748,MG74,4166,74,1721326.45111966,6473609.87403112
Muzejní expozice sdělovací a zabezpečovací techniky,70994234,"Správa železnic, státní organizace",ano,bezbariérové WC ano,průmyslové,stálá muzejní expozice železniční sdělovací a zabezpečovací techniky,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Kydlinovská,1300,č.p.,,50002,https://www.signalmont.cz/,POINT(50.2220089 15.8228006),15.8228006,50.2220089,MG75,4044,75,1761386.10571551,6484813.01511865
Muzeum a archiv Fráni Šrámka,67440649,Městské kulturní středisko Sobotka,ne,bezbarérové WC ne,obecné,"výstava o životě a díle Fráni Šrámka
",Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Sobotka,573493,Náměstí Míru,3,č.p.,,50743,http://franasramek.cz/,POINT(50.4672139 15.1768136),15.1768136,50.4672139,MG76,4131,76,1689475.16181644,6527585.69154508
"Muzeum a galerie Orlických hor - Orlická galerie, výstavní prostory muzea",00371149,Královéhradecký kraj,ano,bezbariérové WC ano,"historické, umělecké","dokumentuje české výtvarné umění od přelomu 19. a 20. století do současnosti, se zaměřením na díla, která místem vzniku, námětem nebo osobou autora mají vztah k regionu Orlických hor a Podorlicka",Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,Kolowratská,1,č.p.,,51601,https://www.moh.cz/,POINT(50.1661619 16.2751661),16.2751661,50.1661619,MG77,4126,77,1811743.20282795,6475102.03835283
Muzeum a galerie Orlických hor Rychnov nad Kněžnou,00371149,Královéhradecký kraj,ne,bezbariérové WC ne,obecné,"expozice se zabývá regionem Orlických hor a Podorlicka.; výstavy jsou většinou monotematické a zabývají se tématy z oblasti historie, archeologie i přírodních věd.",Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,Jiráskova,2,č.p.,,51601,https://www.moh.cz/,POINT(50.1705653 16.2680731),16.2680731,50.1705653,MG78,4125,78,1810953.61367976,6475867.31293063
Muzeum a galerie při zámku v Kostelci nad Orlicí,72965860,František Kinský,částečně,"bezbariérové WC ne , bezbariérové je pouze muzeum a zámecká expozice, galerie ne",obecné,expozici tvoří model středověkého osídlení města; část expozice je věnována dílu Zdeňka Kolářského,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Kostelec nad Orlicí,576361,Komenského,266,č.p.,,51741,https://www.zamekkostelecno.cz/,POINT(50.1226236 16.1997156),16.1997156,50.1226236,MG79,4074,79,1803344.09158786,6467539.23313753
Muzeum betlémů Třebihošť,,Ladislav Voňka,ne,,umělecké,výstava autorské sbírky betlémů,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Dvůr Králové nad Labem,579203,Třebihošť,87,č.p.,,54401,https://www.trebihost.cz/volny-cas/umeni-a-pamatky,POINT(50.4319494 15.7132553),15.7132553,50.4319494,MG80,4026,80,1749191.57870071,6521420.66066895
Muzeum Boženy Němcové,00272591,Město Česká Skalice,částečně,,historické,"Život a dílo Boženy Němcové, Bitva u České Skalice 28.6. 1866, tradice Jiřinkových slavností, Galerie Julie Mezerové, Galerie obrazů Josefa Vondráčka.",Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Česká Skalice,573990,Maloskalická ,47,č.p.,,55203,https://www.muzeumbn.cz/,POINT(50.3955933 16.0364297),16.0364297,50.3955933,MG81,4012,81,1785167.18834613,6515069.5989181
"Muzeum Boženy Němcové, areál Barunčiny školy",00272591,Město Česká Skalice,ne,,historické,expozice zprostředkovává atmosféru školství první poloviny 19. století,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Česká Skalice,573990,Boženy Němcové,9,č.p.,,55203,https://www.muzeumbn.cz/,POINT(50.3956392 16.0419839),16.0419839,50.3956392,MG82,4013,82,1785785.4790619,6515077.61413593
Muzeum bratří Čapků Malé Svatoňovice,00278114,Obec Malé Svatoňovice,ne,bezbariérové WC ne,obecné,expozici tvoří výstava o životě a díle bratří Čapků,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Malé Svatoňovice,579513,náměstí Karla Čapka,147,č.p.,,54234,https://www.malesvatonovice.cz/muzeum/,POINT(50.5341425 16.0507292),16.0507292,50.5341425,MG83,4083,83,1786759.00140473,6539298.97788184
Muzeum Broumovska,00272523,Město Broumov,částečně,,vlastivědné,historie Broumova a Broumovska a výtvarné umění,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Broumov,573922,Klášterní,1,č.p.,,55001,https://m.broumov-mesto.cz/muzeum-broumovska-informace/d-2515,POINT(50.5864131 16.3331792),16.3331792,50.5864131,MG84,4004,84,1818201.1915793,6548458.50571122
Muzeum Broumovského pivovaru,25272632,Pivovar Broumov s.r.o.,částečně,,jiné,"stálá expozice pivovarnictví, historie broumovského pivovaru s možností ochutnávky",Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Broumov,573922,třída Osvobození,55,č.p.,,55101,https://www.pivovarbroumov.cz/cs/muzeum-pivovar-broumov,POINT(50.6036664 16.3344939),16.3344939,50.6036664,MG85,4006,85,1818347.54331384,6551484.08296421
Muzeum Častolovicka,22865284,Spolek přátel Častolovic,částečně,nájezdová rampa u vchodu,historické,"historie regionu Častolovicka - unikátních fotografií, sbírky starých pohlednic, dobových dokumentů, medailonků význačných osob; vzpomínka na válečné veterány a legionáře",Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Častolovice,576182,Masarykova,10,č.p.,,51750,http://www.e-castolovice.cz/,POINT(50.1294303 16.1846547),16.1846547,50.1294303,MG86,4009,86,1801667.51986897,6468721.13472531
Muzeum českého amatérského divadla Miletín,00271811,Město Miletín,ano,bezbariérové WC ano,umělecké,expozice připomínající ochotnické divadlo nabízí unikátní sbírku malovaných opon,Královéhradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Miletín,573175,Na Parkáni,1,č.p.,,50771,http://muzeum.miletin.cz/,POINT(50.404615 15.6786378),15.6786378,50.404615,MG87,4086,87,1745337.97622818,6516645.14875156
Muzeum čs. opevnění – Pevnost Stachelberg,26989743,Stachelberg z.s.,ne,"bezbariérové WC ne, expozice se nachází v podzemních prostorách",historické,"expozice tvoří výkresy, plány a dobové i současné fotografie, pěchotní zbraně a modely pevnostních objektů",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,Babí,,,,54101,https://www.stachelberg.cz/,POINT(50.630595 15.9119067),15.9119067,50.630595,MG88,4143,88,1771305.35139408,6556208.56012693
Muzeum Eduarda Štorcha a Karla Zemana,00271900,Obec Ostroměř,částečně,"nutno překonat jeden menší schod, bezbariérové WC ne",historické,"expozice věnovaná pravěku Ostroměřska; dále filmově a knižně zpracovaných pravěkých scenerií, jež se staly společným prvkem života a díla Eduarda Štorcha i Karla Zemana",Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Ostroměř,573272,T. G. Masaryka,121,č.p.,,50752,https://www.ostromer.cz/obec/muzeum/,POINT(50.3748256 15.5433561),15.5433561,50.3748256,MG89,4112,89,1730278.48627053,6511443.8666223
Muzeum historických kočárků,00275468,Město Týniště nad Orlicí,ne,bezbariérové WC ne,jiné,sbírka historických kočárků v rozsahu let 1860 - 1997,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Týniště nad Orlicí,576859,Mírové náměstí,234,č.p.,,51721,http://www.kralovstvihistorickychkocarku.cz/,POINT(50.1474219 16.0741139),16.0741139,50.1474219,MG90,4148,90,1789362.17430109,6471845.96930048
Muzeum hraček Rychnov nad Kněžnou,43482961,Miroslava Pecháčková,částečně,"bezbariérové WC ano, bezbariérově přístupná jen část - nejlépe se předem domluvit",jiné,"expozice zaměřená na unikátní panenky i stavebnice; k vidění desítky historických panenek, spoustu cínových vojáčků, roztodivné stavebnice,  stolní hry, puzzle historické, technické hračky, prvorepublikové knihy pro děti, loutky, zaměření zejména na česko",Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,Staré náměstí ,68,č.p.,,51601,http://www.muzeumhracek-rk.cz/,POINT(50.1634778 16.2743914),16.2743914,50.1634778,MG91,4128,91,1811656.96361844,6474635.59851189
Muzeum hraček Stuchlíkovi,,Stuchlíkovi,ne,bezbariérové WC ne,hraček,"expozici tvoří unikátní sbírka starožitných porcelánových panenek z let 1870 až 1920; dále expozice starožitných vláčků expozice starožitných vláčků; další expozice ukazují hračky a kočárky z let 1930 až 1980, v prosinci expozice betlémů",Královéhradecký kraj,CZ052,Jičín,CZ0522,Nový Bydžov,5212,Nový Bydžov,570508,U Mlýna,1437,č.p.,,50401,https://www.muzeumhracekbydzov.cz/,POINT(50.2445603 15.4975272),15.4975272,50.2445603,MG92,4107,92,1725176.83645891,6488737.59625832
Muzeum KAHAN III,02101823,"Kahan III, z.s.",ne,bezbariérové WC ne,vojenské,expozice přestavuje předválečného opevnění k zajištění telekomunikačního spojení složek,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Náchod,573868,Dobrošov,,,,54701,https://www.kahan3.cz/,POINT(50.4015222 16.2117058),16.2117058,50.4015222,MG93,4092,93,1804678.83454637,6516104.98832795
Muzeum krajky Vamberk,00371149,Královéhradecký kraj,ano,bezbariérové WC ano,umělecké,"expozice současného krajkářského umění - ukázky paličkovaných krajek, ukázky šitých krajek, krajky od 18. st. po současnost",Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Vamberk,576883,Vilímkova,88,č.p.,,51601,https://www.muzeumkrajky.cz/,POINT(50.1179047 16.288535),16.288535,50.1179047,MG94,4153,94,1813231.42196842,6466719.95154983
Muzeum lega, 24783111,LeMi CZ s.r.o.,částečně,"bezbariérové WC ne, je k dispozici rampa, ale šíře vstupu nemusí být pro každého dostatečně široká",jiné,"více než 1000 modelů poskládaných z Lego kostiček; dále metr vysoká Eiffelova věž nebo Socha svobody, Krakonoš v životní velikosti a sjezdovka Špindlerova mlýna",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Špindlerův Mlýn,579742,Bedřichov,22,č.p.,,54351,https://muzeumlega.cz/,POINT(50.72612 15.6053219),15.6053219,50.72612,MG95,4138,95,1737176.48757312,6572989.7659541
Muzeum lyžování,277738,Obec Dolní Branná,částečně,"Při vstupu do muzea je potřeba překonat práh, ostatní prostory jsou již bezbariérové. K dispozici je i bezbarierová toaleta. První patro, tj. badatelna a výstavní síň jsou bez možnosti přistupu pro vozíčkáře (schody).",historické ,"historie lyžování v Krkonoších, expozice zimních sportů, síň slávy významných osobností zimních sportů.",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Dolní Branná,579122,Dolní Branná,1,č.p.,,543 62,https://www.muzeumlyzovani.cz/,POINT(50.5910556 15.5915558),15.5915558,50.5910556,MG96,4021,96,1735644.05233092,6549272.51584244
Muzeum magie Jaroměř,26642646,"Magická lóže Michala Siloráda Patrčky, z.s.",ano,bezbariérové WC ano,jiné,"dokumentuje osobnosti principálů s informacemi, fotografiemi, plakáty a pro atmosféru doby kouzelnickými rekvizitami a uvádí doklady o historii českých kouzelných divadel
",Královéhradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Jaroměř,574121,Náchodská,432,č.p.,,55101,https://www.muzeummagie.cz/,POINT(50.3618561 15.9348119),15.9348119,50.3618561,MG97,4064,97,1773855.1465946,6509180.38938987
Muzeum města Police nad Metují,00084930,Královéhradecký kraj,ne,bezbariérové WC ne,obecné,dvě multimediální expozice - lidová zbožnost na Broumovsku a Benediktínské Policko - historie Police nad Metují a okolí a zrestaurovaný opatův byt,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Police nad Metují ,574341,Komenského náměstí,1,č.p.,,54931,https://muzeumnachod.cz/2015/10/10/muzeum-mesta-police-nad-metuji/,POINT(50.5383611 16.2346889),16.2346889,50.5383611,MG98,4116,98,1807237.30153521,6540037.83861909
Muzeum mlýn Dřevíček,45581193,Arne Šubrt,ne,bezbariérové WC ne,průmyslové,"expozice zahrnuje řadu řemenů, které přes malé i velké řemenice roztáčejí větráky taráru, soukolí loupačky, mlecí válce, šnek míchačky, excentr vysévače a další zařízení 
",Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Stárkov,574465,Horní Dřevíč,3,č.p.,,54931,http://mlyndrevicek.cz/,POINT(50.5174422 16.17915),16.17915,50.5174422,MG99,4134,99,1801054.739468,6536374.67577559
Muzeum motocyklů Šestajovice,06874037,Motogalerie Šestajovice z.s.,částečně,"bezbariérové WC ano, nutno překonat jeden schod, bezbariérově přístupno 70 % ",jiné,"více než 100 československých motocyklů, výstava kočárků, panenek a hraček našich babiček; k vidění jsou československé motocykly z let 1934 až 2004",Královéhradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Šestajovice,547654,Šestajovice,4,č.p.,,55101,https://www.muzeum-motocyklu.cz/,POINT(50.3417392 16.0069958),16.0069958,50.3417392,MG100,4137,100,1781890.62158607,6505670.74917988
Muzeum Náchodska,00084930,Královéhradecký kraj,ano,bezbariérové WC ano,obecné,expozice zachycuje dějiny Náchoda a jeho okolí,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Náchod,573868,Masarykovo náměstí,1,č.p.,,54701,https://muzeumnachod.cz/,POINT(50.4172708 16.1628811),16.1628811,50.4172708,MG101,4093,101,1799243.69380423,6518855.86344076
"Muzeum Olešnice v Orlických horách, Utzův mechanický betlém",00275174,Obec Olešnice v Orlických horách,ne,bezbariérové WC ne,umělecké,"expozici tvoří mechanický betlém; betlém je unikátní tím, že kromě posuvného pohybu postavy hýbají hlavou, rukama i nohama a v některých případech se i vzájemně přibližují či vzdalují
",Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Olešnice v Orlických horách,576573,Olešnice v Orlických horách,8,č.p.,,51783,https://www.olesnice.net/,POINT(50.3736639 16.3107558),16.3107558,50.3736639,MG102,4108,102,1815705.03010944,6511241.09791989
Muzeum papírových modelů Police nad Metují,00272949,Město Police nad Metují,ne,"bezbariérové WC ne, zrakově postižení pouze po předchozí domluvě",jiné,stálá expozice modelového světa z papírů,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Police nad Metují,574341,Tyršova,341,č.p.,,54954,http://mpmpm.cz/,POINT(50.5354056 16.2319486),16.2319486,50.5354056,MG103,4115,103,1806932.2527346,6539520.19481651
Muzeum parních strojů,,Jan Tomek,nezjištěno,nezjištěno,průmyslové,sbírka téměř dvou stovek parních strojů,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Na Hrázce,363,č.p.,,50009,https://www.krizemkrazem.net/bonusove-misto/2017/tajne-misto-kralovehradecky/,POINT(50.1990553 15.8628214),15.8628214,50.1990553,MG104,4040,104,1765841.20079265,6480820.34473217
