Název,IČO,Zřizovatel,Bezbariérovost,Poznámka k bezbariérovosti,Typ muzea,Zaměření muzea,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,Jedinečný identifikátor v datovém skladu Turistického portálu KHK,ID,x2,y2
Expozice textilního tisku,00023442,Uměleckoprůmyslové muzeum v Praze,částečně,"Přístup do expozice a samotná expozice jsou bezbariérové.
Expozice se nachází v přízemí budovy. U expozice nejsou bezbariérové toalety.",technické,expozice věnovaná textilnímu tisku,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Dvůr Králové nad Labem,579203,Nábřeží Jiřího Wolkera,132,č.p.,,54401,https://www.muzeumdk.cz/,POINT(50.4329817 15.8108517),15.8108517,50.4329817,MG14,4028,14,1760055.96025197,6521601.06475547
Expozice výroby železa,00275387,Obec Skuhrov nad Bělou,ne,bezbariérové WC ne,průmyslové,"expozice obsahuje sbírku výrobků, které byly vyrobeny ve firmě J. Porkert",Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Skuhrov nad Bělou,576778,Skuhrov nad Bělou,84,č.p.,,51703,https://www.skuhrov.cz/turisticke-informacni-centrum,POINT(50.2291289 16.2920911),16.2920911,50.2291289,MG15,4130,15,1813627.28520963,6486051.89591194
Františkánský klášter Hostinné - Městské muzeum a Galerie antického umění,00277908,Město Hostinné,ano,Klášter je plně dostupný pro tělesně handicapované.,umělecké,expozice vývoje města Hostinné od doby kolonizace Podkrkonoší počátkem 13. století až do roku 1948; kolekce ručně vyřezávaných včelích úlů; soubor sádrových odlitků řeckých a římských plastik - vývoj antického sochařství od konce 7. století př. n. l. do 3,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Hostinné,579297,Nádražní,119,č.p.,,54371,www.klasterhostinne.cz,POINT(50.5399619 15.7280325),15.7280325,50.5399619,MG16,4037,16,1750836.56908006,6540318.22576947
Galerie Ambrož,22881930,Jana Vincencová,částečně,"nutno překonat 3 schody, bezbariérové WC je ve vedlejší budově fary",umělecké,výstavy výtvarného umění,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Ambrožova ,729,č.p.,1,50002,https://www.facebook.com/people/Galerie-Ambro%C5%BE/100090670811190/,POINT(50.2092958 15.8222711),15.8222711,50.2092958,MG17,4050,17,1761327.16204513,6482601.39410034
Galerie Antonína Hudečka,00274780,Městys Častolovice,částečně,schodišťová sedačka,umělecké,stálá expozice obrazů malíře Antonína Hudečka a jeho syna Jiřího Hudečka,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Častolovice,576182,Masarykova,10,č.p.,,51750,https://www.ou-castolovice.cz/1850-galerie-antonina-hudecka-opet-otevrena,POINT(50.1294303 16.1846547),16.1846547,50.1294303,MG18,4008,18,1801667.51986897,6468721.13472531
Galerie Barbara,11106450,Alena a Jiří Dudychovi,ano,bezbariérové WC ano,umělecké,"výstava výtvarných děl současných českých umělců, tematická výstava Hradecko – můj oblíbený kraj a Výtvarné salony",Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Střelecká,838,č.p.,,50002,https://www.gbarbara.cz/,POINT(50.2106675 15.8201064),15.8201064,50.2106675,MG19,4048,19,1761086.18874341,6482839.99208292
Galerie Bio Central,28856376,Centrální kino s.r.o.,ano,"bezbariérové WC ano, bezbariérově přístupno 60 % prohlídkové trasy",umělecké,"film, filmové plakáty, druhá část je věnována mladým umělcům a jejich tvorbě",Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,třída Karla IV.,774,č.p.,,50002,https://www.biocentral.cz,POINT(50.2142067 15.8227683),15.8227683,50.2142067,MG20,4165,20,1761382.51009596,6483455.64378123
Galerie Celnice,656119,Obec Malá Úpa,částečně,"bezbariérové WC ne, ale je dostupné v bízkém infocentru",umělecké,"Galerie Celnice je k dispozici komukoliv, kdo je něčím zajímavý a chce si uspořádat výstavy s vernisáží",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Malá Úpa,579505,Horní Malá Úpa,100,č.p.,,54221,https://malaupa.cz/blog/tag/galerie-celnice/,POINT(50.7468261 15.8228044),15.8228044,50.7468261,MG21,4082,21,1761386.52872957,6576631.78801634
Galerie Draka Trutnov,00278360,Město Trutnov,ano,"bezbariérové WC ne, k dispozici je schodišťová plošina",umělecké,drak je v expozici představen jako mnohovrstevnatý a jen obtížně uchopitelný symbol,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,Školní,151,č.p.,,54101,https://www.galeriedraka.cz/,POINT(50.5615997 15.9127272),15.9127272,50.5615997,MG22,4144,22,1771396.68903628,6544109.11553157
Galerie Dům,26652021,"Agentura pro rozvoj Broumovska, z.ú.",částečně,T jen pro venkovní výstavu.,umělecké,malířství a sochařství,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Broumov,573922,Klášterní,1,č.p.,,55001,https://galeriedum.cz/cs/o-galerii-dům,POINT(50.5861511 16.3342019),16.3342019,50.5861511,MG23,4005,23,1818315.03802253,6548412.56935218
Galerie Koruna,25979949,Galerie Koruna spol. s r.o.,částečně,"bezbariérové WC ne, jeden malý schůdek u vstupu",umělecké,výstavy českých autorů výtvarného umění 20. a 21. století,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Rokitanského ,169,č.p.,,50003,https://www.galeriekoruna.cz/,POINT(50.2096139 15.8309764),15.8309764,50.2096139,MG24,4051,24,1762296.23160834,6482656.7248435
Galerie Luxfer,06590764,"Luxfer open space, z. s.",ano,"Galerie zahrnuje dva hlavní prostory, oba jsou bezbariérové. Dále zahrnuje experimentální prostory, kde je nutné překonat malé schody. Součástí komentovaných prohlídek jsou a i audiovizuální prvky. Panely s textem zde jsou též.  Je k dispozici bezbariérov",umělecké,"Výstavy současného umění, galerijní činnost.",Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Česká Skalice,573990,Maloskalická ,40,č.p.,,55203,https://www.galerieluxfer.cz/,POINT(50.3922086 16.0514731),16.0514731,50.3922086,MG25,4014,25,1786841.81197394,6514478.57220293
Galerie M,,manželé Mejvaldovi,ne,bezbariérové WC ne,umělecké,výstava obrazů Václava Mejvalda,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Vrchlabí,579858,Krkonošská,23,č.p.,,54301,https://www.mestovrchlabi.cz/galerie-m,POINT(50.628375 15.609276),15.609276,50.628375,MG26,4158,26,1737616.65597167,6555818.97081304
Galerie města Trutnova,64202836,Město Trutnov,ne,bezbariérové WC ne,umělecké,kolekce umění regionu a  sbírka významného českého umění autorů 20. a 21. století,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,Slovanské náměstí,38,č.p.,,54101,https://www.gamt.cz/,POINT(50.5610344 15.9158319),15.9158319,50.5610344,MG27,4140,27,1771742.30265935,6544010.05421314
Galerie moderního umění v Hradci Králové,00088404,Královéhradecký kraj,ano,bezbariérové WC ano,umělecké,"sbírka českého moderního výtvarného umění, sbírky umělců - Josef Čapek, Václav Špála, Emil Filla a další",Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Velké náměstí,139,č.p.,140,50003,https://www.galeriehk.cz/,POINT(50.2099331 15.8342222),15.8342222,50.2099331,MG28,4041,28,1762657.55241155,6482712.24729289
Galerie Morzin,01341162,Galerie Morzin z.s.,nezjištěno,,umělecké,výstavy současného výtvarného umění,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Vrchlabí,579858,Nádražní ulice ,471,č.p.,,54301,"https://www.mestovrchlabi.cz/zamecek-galerie-morzin
https://www.facebook.com/galeriemorzin/?locale=cs_CZ",POINT(50.6222161 15.6158633),15.6158633,50.6222161,MG29,4157,29,1738349.95085338,6554738.2375524
Galerie Na Hradě,00216208,Univerzita Karlova - Lékařská fakulta,ano,bezbariérové WC ano,umělecké,výstavy výtvarného umění,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Na Hradě,91,č.p.,3,50001,https://www.lfhk.cuni.cz/Fakulta/O-fakulte/Zivot-na-fakulte/Spolecenske-a-sportovni-akce/Vystavy/Galerie-Na-Hrade/,POINT(50.2108147 15.8327094),15.8327094,50.2108147,MG30,4053,30,1762489.14828588,6482865.59693967
Galerie na mostě,00216208,Univerzita Karlova - Farmaceutická fakulta,ano,bezbariérové WC ano,umělecké,výstavy výtvarného umění,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Akademika Heyrovského,1203,č.p.,,50005,https://www.faf.cuni.cz/Verejnost/Galerie-Na-Moste/,POINT(50.2014822 15.8358164),15.8358164,50.2014822,MG31,4054,31,1762835.01794378,6481242.40175375
Galerie Nola,5364515,Galerie Nola z. s.,ano,bezbariérové WC ano,umělecké,Zaměřuje se na vystavení předních českých umělců i na tvorby mladých začínajích umělců z ČR i zahraničí.,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Náchod,573868,Purkyňova,518,č.p.,,54701,http://galerienachod.cz/,POINT(50.4123183 16.1684269),16.1684269,50.4123183,MG32,4099,32,1799861.04943627,6517990.69059149
Galerie Otto Gutfreunda,43464386,Město Dvůr Králové nad Labem,částečně,Do galerie je bezbariérový přístup. Chybí bezbariérová toaleta.,umělecké,"výstavy uměleckých prací žáků i výtvarných pedagogů, výstava sochařských děl Otto Gutfreunda, výstava žáků školy",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Dvůr Králové nad Labem,579203,Náměstí T. G. Masaryka ,83,č.p.,,54401,https://zusdk.cz/,POINT(50.4317883 15.8132292),15.8132292,50.4317883,MG33,4025,33,1760320.62234133,6521392.50729101
Galerie plastik Hořice,00271560,Město Hořice,částečně,K dispozici jsou panely s texty a po domluvě komentář. Prostory nejsou bezbariérové.,umělecké,"sbírky soch od českých i zahraničních autorů, barokní plastiky a sochařský areál v přírodě",Královéhradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Hořice,572926,Gothard,1639,č.p.,,50801,https://galerie.horice.org/tag/galerie-plastik/,POINT(50.3651003 15.6422808),15.6422808,50.3651003,MG34,4032,34,1741290.7335014,6509746.51918666
"Galerie Pravěk očima Zdeňka Buriana, ZOO Dvůr Králové",27478246,Královéhradecký kraj,částečně,U vstupu do galerie je třeba překonat schod a prohlídku je třeba objednat.,umělecké,"expozice obrazů pravěkých zvířat Zdeňka Buriana s prehistorickou tematikou, 3D obrazy",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Dvůr Králové nad Labem,579203,Štefánikova ,1029,č.p.,,54401,https://safaripark.cz/cz/zvirata-a-expozice/galerie-zdenka-buriana,POINT(50.4344611 15.8016594),15.8016594,50.4344611,MG35,4023,35,1759032.67809675,6521859.61060972
Galerie Rondo,45989176,Jana Matějková,nezjištěno,,umělecké,"výstava obrazů, grafiky, soch, keramiky i fotografií současných českých umělců především z východočeského, severočeského, středočeského kraje a Prahy",Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Klicperova,140,č.p.,,50001,http://www.galerie-rondo.cz/,POINT(50.2099381 15.8340844),15.8340844,50.2099381,MG36,4049,36,1762642.21258572,6482713.1170084
Galerie T,62690094,Univerzita Hradec Králové,nezjištěno,,umělecké,expozice seznamuje s tvorbou pedagogů z ostatních vysokých uměleckých škol a s tvorbou studentských ateliérů,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Hradecká ,1227,č.p.,4,50003,https://www.uhk.cz/cs/univerzita-hradec-kralove/uhk/zijeme-uhk/kultura-a-sport/galerie-t,POINT(50.203575 15.8300119),15.8300119,50.203575,MG37,4055,37,1762188.86395947,6481606.373385
Galerie Tři generace Kodetů,48637921,"Šárka Apoštolová, Ing. arch. Petr Vítek",ano,bezbariérové WC ano,umělecké,výstava nabízí malířská díla Kristiana Kodeta,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Velké náměstí ,1,č.p.,,50002,https://www.muzeumkodet.cz/,POINT(50.2093475 15.8314014),15.8314014,50.2093475,MG38,4056,38,1762343.54239193,6482610.38684298
Galerie UFFO,72049537,Město Trutnov,ano,bezbariérové WC ano,umělecké,"prezentace současných uměleckých trendů, nových médií, designu a architektury; výběr autorů je zaměřen na mladou generaci, české osobnosti  i na autory ze zahraničí",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,náměstí Republiky,999,č.p.,,54201,,POINT(50.5633817 15.9103336),15.9103336,50.5633817,MG39,4145,39,1771130.23470312,6544421.3951455
Galerie Valdštejnská lodžie,02346915 ,"Valdštejnské imaginárium, z. ú.",částečně,"bezbariérové WC ne, bezbariérový přístup z parkoviště na terasu, do parku a vnitřních prostor, do galerie nelze",umělecké,"interaktivní prohlídky Valdštejnské lodžie, návštěvnické turistické centrum využívající interaktivní prvky (i pro děti) a imaginárium",Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,Sedličky,4,č.p.,,50601,valdstejnskalodzie.cz,POINT(50.4497647 15.3780906),15.3780906,50.4497647,MG40,4071,40,1711881.21496483,6524534.60308918
Galerie Veselý výlet,10519688,RNDr. Pavel Klimeš ,částečně,Bezbariérový přístup.,umělecké,výstavy obrazů a fotografií,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Horní Maršov,579262,Temný Důl,46,č.p.,,54226,https://veselyvylet.cz/cz/vv6.html,POINT(50.6646636 15.8075411),15.8075411,50.6646636,MG41,4031,41,1759687.42594575,6562189.59090868
Galerie výtvarného umění v Náchodě,00371041,Královéhradecký kraj,částečně,"bezbariérové WC ne, bezb. přístupno, ale nejlépe s doprovodem",umělecké,"expozice se zaměřuje na ruské umění 19. a 20. století; vlastní sbírku evropského umění 16. až 20. století, moderního českého umění 20. a 21. století a soubory děl regionálních výtvarníků",Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Náchod,573868,Smiřických,272,č.p.,,54701,https://www.gvun.cz/,POINT(50.4197842 16.1607203),16.1607203,50.4197842,MG42,4088,42,1799003.15464852,6519294.97435476
